Test Date,County,New Positives,Cumulative Number of Positives,Total Number of Tests Performed,Cumulative Number of Tests Performed,Test % Positive,Geography
3/1/2020,Albany,0,0,0,0,0.00%,COUNTY
3/1/2020,Allegany,0,0,0,0,0.00%,COUNTY
3/1/2020,Bronx,0,0,0,0,0.00%,COUNTY
3/1/2020,Broome,0,0,0,0,0.00%,COUNTY
3/1/2020,Cattaraugus,0,0,0,0,0.00%,COUNTY
3/1/2020,Cayuga,0,0,0,0,0.00%,COUNTY
3/1/2020,Chautauqua,0,0,0,0,0.00%,COUNTY
3/1/2020,Chemung,0,0,0,0,0.00%,COUNTY
3/1/2020,Chenango,0,0,0,0,0.00%,COUNTY
3/1/2020,Clinton,0,0,0,0,0.00%,COUNTY
3/1/2020,Columbia,0,0,0,0,0.00%,COUNTY
3/1/2020,Cortland,0,0,0,0,0.00%,COUNTY
3/1/2020,Delaware,0,0,0,0,0.00%,COUNTY
3/1/2020,Dutchess,0,0,0,0,0.00%,COUNTY
3/1/2020,Erie,0,0,0,0,0.00%,COUNTY
3/1/2020,Essex,0,0,0,0,0.00%,COUNTY
3/1/2020,Franklin,0,0,0,0,0.00%,COUNTY
3/1/2020,Fulton,0,0,0,0,0.00%,COUNTY
3/1/2020,Genesee,0,0,0,0,0.00%,COUNTY
3/1/2020,Greene,0,0,0,0,0.00%,COUNTY
3/1/2020,Hamilton,0,0,0,0,0.00%,COUNTY
3/1/2020,Herkimer,0,0,0,0,0.00%,COUNTY
3/1/2020,Jefferson,0,0,0,0,0.00%,COUNTY
3/1/2020,Kings,0,0,0,0,0.00%,COUNTY
3/1/2020,Lewis,0,0,0,0,0.00%,COUNTY
3/1/2020,Livingston,0,0,0,0,0.00%,COUNTY
3/1/2020,Madison,0,0,0,0,0.00%,COUNTY
3/1/2020,Monroe,0,0,0,0,0.00%,COUNTY
3/1/2020,Montgomery,0,0,0,0,0.00%,COUNTY
3/1/2020,Nassau,0,0,0,0,0.00%,COUNTY
3/1/2020,New York,0,0,0,0,0.00%,COUNTY
3/1/2020,Niagara,0,0,0,0,0.00%,COUNTY
3/1/2020,Oneida,0,0,0,0,0.00%,COUNTY
3/1/2020,Onondaga,0,0,0,0,0.00%,COUNTY
3/1/2020,Ontario,0,0,0,0,0.00%,COUNTY
3/1/2020,Orange,0,0,0,0,0.00%,COUNTY
3/1/2020,Orleans,0,0,0,0,0.00%,COUNTY
3/1/2020,Oswego,0,0,0,0,0.00%,COUNTY
3/1/2020,Otsego,0,0,0,0,0.00%,COUNTY
3/1/2020,Out-of-State,0,0,0,0,0.00%,COUNTY
3/1/2020,Putnam,0,0,0,0,0.00%,COUNTY
3/1/2020,Queens,0,0,0,0,0.00%,COUNTY
3/1/2020,Rensselaer,0,0,0,0,0.00%,COUNTY
3/1/2020,Richmond,0,0,0,0,0.00%,COUNTY
